id,account_no,name,phone,id_card,branch,card_type,category,balance,trans_amount,trans_date,trans_type,memo
1,622188101284400,姜雪雨,18639416835,110101197012078251,招商银行深圳分行,借记卡,C,467101.16,7433.04,2026-07-27,理财申购,网上银行
2,622188358573890,华浩子,13553805857,510107198504073841,民生银行福州分行,信用卡,C,472560.95,6315.56,2026-07-26,代扣,自助设备
3,622588884375011,姜桂磊,15909150215,310115196508111036,工商银行北京分行,电子账户,A,177635.50,31321.83,2026-07-04,理财申购,
4,622588538557450,秦欣强,18089726075,350203197805113603,中信银行西安分行,一卡通,A,37368.98,41872.57,2026-07-20,理财申购,批量代发
5,622588503693425,孙然静,18835964889,110101201203081786,建设银行上海分行,信用卡,B,462626.28,25838.61,2026-07-06,取款,柜面办理
6,622848958627733,何平静,15095254627,510107201010072296,招商银行深圳分行,一卡通,C,48452.28,876.15,2026-07-02,存款,柜面办理
7,622188723241033,朱伟子,19908024064,310115199311206983,民生银行福州分行,信用卡,B,366751.60,16584.87,2026-07-01,转账,
8,622155398562700,郑勇桂,13509798088,440305200104181480,农业银行广州分行,信用卡,C,485452.97,47748.62,2026-07-22,存款,手机银行
9,622848748085740,朱英丽,18082226778,420102198905211172,民生银行福州分行,信用卡,A,225044.58,4251.92,2026-07-28,还款,
10,622155428675259,严婷强,18090910083,37020219780320332X,建设银行上海分行,储蓄卡,B,240112.54,16389.55,2026-07-23,存款,POS消费
11,622188262528004,姜轩轩,15178030409,42010219830321013X,邮政储蓄成都分行,一卡通,C,167074.77,41974.83,2026-07-04,转账,网上银行
12,622848989461818,陶轩霞,13933084916,310115199511049118,中信银行西安分行,信用卡,A,239155.47,15423.40,2026-08-08,工资入账,POS消费
13,622848467572564,朱秀欣,15894602044,440305200305309380,建设银行上海分行,借记卡,B,301255.36,15723.36,2026-08-08,理财申购,批量代发
14,622188036821958,沈伟博,13560869291,510107199212092383,工商银行南京分行,信用卡,A,29342.37,9460.68,2026-08-04,还款,
15,622848865677580,沈然娜,13844641323,330106198402255118,民生银行福州分行,一卡通,C,4486.51,11781.11,2026-07-28,消费,网上银行
