id,name,phone,id_card,category,amount,score,memo
1,user001,13700000007,100000000001234567,A,101.00,10,memo-1
2,user002,13700000014,100000000002469134,B,202.00,20,memo-2
3,user003,13700000021,100000000003703701,C,303.00,30,memo-3
4,user004,13700000028,100000000004938268,A,404.00,40,memo-4
5,user005,13700000035,100000000006172835,B,505.00,50,memo-5
6,user006,13700000042,100000000007407402,C,606.00,60,memo-6
7,user007,13700000049,100000000008641969,A,707.00,70,memo-7
8,user008,13700000056,100000000009876536,B,808.00,80,memo-8
9,user009,13700000063,100000000011111103,C,909.00,90,memo-9
10,user010,13700000070,100000000012345670,A,1010.00,100,memo-10
11,user011,13700000077,100000000013580237,B,1111.00,110,memo-11
12,user012,13700000084,100000000014814804,C,1212.00,120,memo-12
13,user013,13700000091,100000000016049371,A,1313.00,130,memo-13
14,user014,13700000098,100000000017283938,B,1414.00,140,memo-14
15,user015,13700000105,100000000018518505,C,1515.00,150,memo-15
16,user016,13700000112,100000000019753072,A,1616.00,160,memo-16
17,user017,13700000119,100000000020987639,B,1717.00,170,memo-17
18,user018,13700000126,100000000022222206,C,1818.00,180,memo-18
19,user019,13700000133,100000000023456773,A,1919.00,190,memo-19
20,user020,13700000140,100000000024691340,B,2020.00,200,memo-20
21,user021,13700000147,100000000025925907,C,2121.00,210,memo-21
22,user022,13700000154,100000000027160474,A,2222.00,220,memo-22
23,user023,13700000161,100000000028395041,B,2323.00,230,memo-23
24,user024,13700000168,100000000029629608,C,2424.00,240,memo-24
25,user025,13700000175,100000000030864175,A,2525.00,250,memo-25
26,user026,13700000182,100000000032098742,B,2626.00,260,memo-26
27,user027,13700000189,100000000033333309,C,2727.00,270,memo-27
28,user028,13700000196,100000000034567876,A,2828.00,280,memo-28
29,user029,13700000203,100000000035802443,B,2929.00,290,memo-29
30,user030,13700000210,100000000037037010,C,3030.00,300,memo-30
31,user031,13700000217,100000000038271577,A,3131.00,310,memo-31
32,user032,13700000224,100000000039506144,B,3232.00,320,memo-32
33,user033,13700000231,100000000040740711,C,3333.00,330,memo-33
34,user034,13700000238,100000000041975278,A,3434.00,340,memo-34
35,user035,13700000245,100000000043209845,B,3535.00,350,memo-35
36,user036,13700000252,100000000044444412,C,3636.00,360,memo-36
37,user037,13700000259,100000000045678979,A,3737.00,370,memo-37
38,user038,13700000266,100000000046913546,B,3838.00,380,memo-38
39,user039,13700000273,100000000048148113,C,3939.00,390,memo-39
40,user040,13700000280,100000000049382680,A,4040.00,400,memo-40
41,user041,13700000287,100000000050617247,B,4141.00,410,memo-41
42,user042,13700000294,100000000051851814,C,4242.00,420,memo-42
43,user043,13700000301,100000000053086381,A,4343.00,430,memo-43
44,user044,13700000308,100000000054320948,B,4444.00,440,memo-44
45,user045,13700000315,100000000055555515,C,4545.00,450,memo-45
46,user046,13700000322,100000000056790082,A,4646.00,460,memo-46
47,user047,13700000329,100000000058024649,B,4747.00,470,memo-47
48,user048,13700000336,100000000059259216,C,4848.00,480,memo-48
49,user049,13700000343,100000000060493783,A,4949.00,490,memo-49
50,user050,13700000350,100000000061728350,B,5050.00,500,memo-50
51,user051,13700000357,100000000062962917,C,5151.00,510,memo-51
52,user052,13700000364,100000000064197484,A,5252.00,520,memo-52
53,user053,13700000371,100000000065432051,B,5353.00,530,memo-53
54,user054,13700000378,100000000066666618,C,5454.00,540,memo-54
55,user055,13700000385,100000000067901185,A,5555.00,550,memo-55
56,user056,13700000392,100000000069135752,B,5656.00,560,memo-56
57,user057,13700000399,100000000070370319,C,5757.00,570,memo-57
58,user058,13700000406,100000000071604886,A,5858.00,580,memo-58
59,user059,13700000413,100000000072839453,B,5959.00,590,memo-59
60,user060,13700000420,100000000074074020,C,6060.00,600,memo-60
61,user061,13700000427,100000000015554321,A,6161.00,,
62,user062,13700000434,100000000015555000,B,6262.00,620,这个备忘很长xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
63,user063,13700000441,100000000015556321,C,6363.00,630,"memo-63,with,comma"
